Product ID,Product Description,Product Owner ID,Version,Product Owner Name,Expected Arrival Date / Time Entered,Anticipated Arrival Date & Time,Expected Arrival Client Purchase Order,Expected Arrival Shipped From,Expected Arrival Shipping Method,Expected Arrival Comments,Initial Expected Quantity,Total Expected Quantity Received (All Receipts),Expected Arrival Product Line Complete,Product First UPC Code,Product Origin System,Expected Arrival Date / Time Last Modified,Expected Arrival Our Purchase Order
50013231-202/B,SENSOR,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,1080,,0,085267815963,CUS529,09/24/2025 07:21:09,10997791
CS8840A1025/B,WATERHEATER PILOT,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,2304,,0,085267309233,CUS529,09/24/2025 07:21:09,10997791
CS8840B1117/B,WATER HEATER PILOT,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,3456,,0,085267590471,CUS529,09/24/2025 07:21:09,10997791
CS8840C1710/B,RHEEM VESTA PILOT,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,3456,,0,085267722537,CUS529,09/24/2025 07:21:09,10997791
CS8840C1736/B,RHEEM VESTA PILOT,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,1152,,0,085267727945,CUS529,09/24/2025 07:21:09,10997791
GFS3426A-3397/B,PRESSURE SWITCH,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,200,,0,085267232876,CUS529,09/24/2025 07:21:09,10997791
Q309A1970/B,THERMOCOUPLE,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,300,,0,085267065962,CUS529,09/24/2025 07:21:09,10997791
Q313D3009/B,AO SMITH THERMOPILE,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,100,,0,085267630931,CUS529,09/24/2025 07:21:09,10997791
Q3451J1477/B,PILOT BURNER Q345 TYPE,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,700,,0,085267205108,CUS529,09/24/2025 07:21:09,10997791
Q348A1275/B,IGN PLT BRNR,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,400,,0,085267068543,CUS529,09/24/2025 07:21:09,10997791
Q377A1019/B,PILOT BURNER,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,250,,0,085267788816,CUS529,09/24/2025 07:21:09,10997791
VR8205M2831/B,CGC 24 V DSI,CUS529,,Resideo,09/24/2025 07:21:05,09/25/2025 00:00:00,,,,,140,,0,085267786249,CUS529,09/24/2025 07:21:09,10997791
