Product ID,Product Description,Version,Receipt Date,Product Owner Name,Unit ID,Building,Zone,Aisle,Rack,Level,Total On Hand,Total Marked Pieces
45451,Estate Planning Brochure,,03/14/2016 08:09:56,Meriden Insurance Company,1,01,Bulk Warehouse Storage,1,1,A,0,0
45451,Estate Planning Brochure,,02/14/2017 16:12:00,Meriden Insurance Company,1082,01,Racks,10,002,AF,7,7
45451,Estate Planning Brochure,,02/14/2017 16:12:00,Meriden Insurance Company,1083,01,Bulk Warehouse Storage,1,15,D,20,20
45451,Estate Planning Brochure,,02/14/2017 16:20:00,Meriden Insurance Company,1084,01,Bulk Warehouse Storage,1,2,A,0,0
45451,Estate Planning Brochure,,02/14/2017 16:30:00,Meriden Insurance Company,1087,01,Bulk Warehouse Storage,1,2,B,0,0
45451,Estate Planning Brochure,,10/16/2020 15:35:00,Meriden Insurance Company,1141,01,Bulk Warehouse Storage,2,2,A,14,14
45451,Estate Planning Brochure,,12/01/2020 16:20:00,Meriden Insurance Company,2145,01,Bulk Warehouse Storage,2,2,B,41214,41214
45451,Estate Planning Brochure,,11/24/2023 12:47:00,Meriden Insurance Company,2208,,,,,,1,1
45451,Estate Planning Brochure,,03/21/2017 16:34:00,Meriden Insurance Company,1093,01,Bulk Warehouse Storage,1,3,C,0,0
45451,Estate Planning Brochure,,05/09/2017 16:09:00,Meriden Insurance Company,1097,01,Bulk Warehouse Storage,1,4,D,20,20
45451,Estate Planning Brochure,,05/09/2017 16:10:00,Meriden Insurance Company,1098,01,Bulk Warehouse Storage,1,4,B,0,0
45451,Estate Planning Brochure,,01/10/2020 14:39:00,Meriden Insurance Company,1134,01,Bulk Warehouse Storage,2,1,A,100,100
45451,Estate Planning Brochure,,10/16/2020 15:29:00,Meriden Insurance Company,1137,01,Bulk Warehouse Storage,2,1,C,80,80
45451,Estate Planning Brochure,,10/16/2020 15:31:00,Meriden Insurance Company,1138,01,Bulk Warehouse Storage,2,1,D,80,80
7845445,Estate Planning Worksheets,,03/14/2016 08:10:01,Meriden Insurance Company,2,01,Bulk Warehouse Storage,1,2,C,2,2
7845445,Estate Planning Worksheets,,06/02/2016 10:26:00,Meriden Insurance Company,1075,01,Bulk Warehouse Storage,1,13,C,0,0
7845445,Estate Planning Worksheets,,09/01/2016 16:35:00,Meriden Insurance Company,1077,01,Bulk Warehouse Storage,1,15,B,0,0
7845445,Estate Planning Worksheets,,09/01/2016 16:58:00,Meriden Insurance Company,1081,01,Bulk Warehouse Storage,1,15,B,29,15
7845445,Estate Planning Worksheets,,02/14/2017 16:20:00,Meriden Insurance Company,1085,01,Bulk Warehouse Storage,1,2,A,0,0
7845445,Estate Planning Worksheets,,03/21/2017 16:34:00,Meriden Insurance Company,1094,01,Bulk Warehouse Storage,1,3,C,5,2
7845445,Estate Planning Worksheets,,07/11/2017 16:07:00,Meriden Insurance Company,1115,01,Bulk Warehouse Storage,1,2,B,0,0
7845445,Estate Planning Worksheets,,12/13/2020 20:10:00,Meriden Insurance Company,2147,01,Bulk Warehouse Storage,2,2,D,100,0
LRGCOPL-88952,Meriden Large Company Plans,,03/14/2016 08:10:01,Meriden Insurance Company,3,01,Bulk Warehouse Storage,3,4,D,0,0
LRGCOPL-88952,Meriden Large Company Plans,,09/01/2016 16:56:00,Meriden Insurance Company,1080,01,Bulk Warehouse Storage,1,15,D,0,0
LRGCOPL-88952,Meriden Large Company Plans,,02/23/2017 16:53:00,Meriden Insurance Company,1088,01,Bulk Warehouse Storage,3,4,D,0,0
LRGCOPL-88952,Meriden Large Company Plans,,09/07/2017 11:17:00,Meriden Insurance Company,1129,01,Bulk Warehouse Storage,1,8,D,20,4
LRGCOPL-88952,Meriden Large Company Plans,,10/16/2020 15:31:00,Meriden Insurance Company,1139,01,Bulk Warehouse Storage,2,1,D,80,0
SELHPL-25145,Meriden Select Health Plans,,03/14/2016 08:10:01,Meriden Insurance Company,4,01,Bulk Warehouse Storage,1,1,A,254,0
SMCOPL-55135,Meriden Small Company Plans,,03/14/2016 08:10:02,Meriden Insurance Company,5,01,Bulk Warehouse Storage,1,2,C,54,0
